Customer_ID,product_name,price,rating,reviews,availability,purchase_date,quantity
C064,"Turtle Beach Recon 50 Wired Gaming Headset - Xbox Series X|S, Xbox One, PS5, PS4, PlayStation, Nintendo Switch, Mobile & PC with 3.5mm - Removable Mic, 40mm Speakers, In-line Controls – Black",$24.99,4.3 out of 5 stars,"101,913 ratings",In Stock,"Reviewed in the United States on December 3, 2024",10K+ boughtin past month
C065,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - White",Page 1 of 1,4.6 out of 5 stars,"31,602 ratings",Not Available,"Reviewed in the United States on October 30, 2024",
C066,"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C",$999.00,4.5 out of 5 stars,79 ratings,,"Reviewed in the United States on December 6, 2024",2K+ boughtin past month
C067,"Amazon Basics 24 Inch Gaming Monitor, FHD 1080P, 165Hz, VESA Compatible, Adaptive sync, 1ms Response, Black",$129.99,4.3 out of 5 stars,51 ratings,In Stock,"Reviewed in the United States on October 12, 2024",400+ bought in past month
C068,"KTC 27 Inch 4K Gaming Monitor, UHD 160Hz/144Hz 1ms Fast IPS Monitor, Freesync/G-Sync, HDR400, 132% sRGB, HDMI DisplayPort, VESA, Tilt/Height/Pivot Adjustable, H27P22S",$399.99,4.5 out of 5 stars,848 ratings,In Stock,"Reviewed in the United States on November 27, 2024",300+ boughtin past month
C069,"Logitech G920 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for Xbox Series X|S, Xbox One, PC, Mac - Black",$239,4.6 out of 5 stars,"20,912 ratings",Not Available,"Reviewed in the United States on July 3, 2022",
C070,SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),$48.99,4.6 out of 5 stars,"6,939 ratings",In Stock,"Reviewed in the United States on October 8, 2024",5K+ boughtin past month
C071,"Gaming Headphone Stand PC Accessories - RGB Headset Stand with 2 USB Charger, Cool LED Headphone Holder PC Gaming Accessories Gift for Boys Men Gamers, Computer Game Hardware for Desk",$26.99,4.3 out of 5 stars,200 ratings,In Stock,"Reviewed in the United States on December 2, 2024",1K+ bought in past month
C072,"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",$94.99,4.5 out of 5 stars,"2,545 ratings",In Stock,"Reviewed in the United States on October 23, 2024",8K+ boughtin past month
C073,"Acer Predator Helios Neo 16 Gaming Laptop | Intel Core i7-13650HX | NVIDIA GeForce RTX 4060 | 16"" WUXGA 1920 x 1200 165Hz G-SYNC Display | 16GB DDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PHN16-71-76H5",$999.99,4.5 out of 5 stars,"1,957 ratings",In Stock,"Reviewed in the United States on December 1, 2024",500+ bought in past month
